lane_id,pickup_city,pickup_state,delivery_city,delivery_state
a59b3b48cca6cde900fbdae0a4388e4b,SALINAS,CA,UPPER MARLBORO,MD
165f81859cf164bad04924f245571c89,TRENTON,MO,RENO,NV
3a52034986e52f1eb22aab8a564f89b6,GONZALES,CA,UPPER MARLBORO,MD
199054e4979a2ca6d68404b9d8ce1760,BROWNSVILLE,TX,PORTLAND,OR
0fb6b96fa4a95932630727e03f82e067,NORTH CHARLESTON,SC,RENO,NV
ba13d8231048b82a07506eb9f57203f4,MOGADORE,OH,PORTLAND,OR
3b29f494b42a5ef27a477c300691e363,BEECHER,IL,PLANT CITY,FL
99a7808cfe50d61307709dd12d0e0b26,SELAH,WA,TOLLESON,AZ
472bd2347d6f21811130f8767dce805c,VINELAND,NJ,CANBY,OR
70fc7c575bac3ff01ff372e69072edd6,CARLISLE,PA,JACKSONVILLE,FL
98095c5e7531f8bd7eca6dcc217e512f,BRIGHTON,MI,LAREDO,TX
dfa54f1383c40df803bec042effb0799,TOLEDO,OH,MEMPHIS,TN
b1051fbc65d598c7610fc70a1e808963,PIEDMONT,SC,LAREDO,TX
446f8f7d4bf0c0f327582754ba7d2e4f,FOSTORIA,OH,WELLS,ME
658e35cda1de68bfe83ecd6f46070889,ST. LOUIS,MO,PORTLAND,OR
05f5c2e1e4ffda8fa82901542094980d,NEWARK,NJ,JACKSONVILLE,FL
3c022a561507be3793ee7cad259ef3f4,FORT COLLINS,CO,COLONIAL HEIGHTS,VA
04a597f8864ffb215d95b53730636350,ST. LOUIS,MO,OCALA,FL
a1dbf2e01c306eabc6950c817a4fb737,WILLIAMS,MN,ELMER,NJ
e8cebed194dd765c5755c8500899bfde,MINNEAPOLIS,MN,DENVER,CO
8b9a9ec811479abe9aa555869d2d4ea7,TRENTON,MO,MOUNT HOLLY,NC
19c0955b7cb95795537418c610baf003,FORT COLLINS,CO,PITTSBURGH,PA
b302a9c6294ca311146a40063b5f09cd,PITTSBURGH,PA,JURUPA VALLEY,CA
b7b1c1427ee4bc2bcd066e8c2bb902a5,NEWARK,NJ,ORLANDO,FL
95fff5d09a832a7da6c676d2a0c7865e,LOS ANGELES,CA,HAYDEN,ID
f9300fda782e1095b81a1b04ccaf6211,COLUMBUS,OH,BALDWINSVILLE,NY
c49bb4a76d625c01ca0d895e60285ec7,SIOUX CITY,IA,LONGMONT,CO
acb8e903a1f75ad9fce940bf7bad2980,HAMLIN,TX,RONKONKOMA,NY
30065ad74e578296ab023fdd56e9967e,COMPTON,CA,PORTLAND,OR
c784119163769f9af011d4128d60f92a,ERIE,PA,MILFORD,MA
1192e47bc7a4f3589aa5aded29813697,HOUSTON,TX,LEONARDTOWN,MD
1a2476415f2ff60d0e04ce9c666dbe6a,ST. LOUIS,MO,PASADENA,TX
55695b9e8849fb716037ef55606b5bf8,COMPTON,CA,AURORA,CO
0d3429b92738bdf6e9593a06858a5e5a,GRANITE CITY,IL,INTERNATIONAL FALLS,MN
8c0a6980500ce4586b54edf7fd6a3fae,TAMPA,FL,SANTA ANA,CA
49cc1e4a76f76424ffef38bea8a97292,HOUSTON,TX,ROCK SPRINGS,WY
1c623727c056741f3538bb3a5b64d098,COLONIAL HEIGHTS,VA,FORT PIERCE,FL
d9c974ea10c17420168f492b4ad367c9,ST. LOUIS,MO,MOBILE,AL
6288b7f99ac98177a1536f6f585a422b,BLOOMINGTON,CA,PHOENIX,AZ
a394a81fcaa38377c85f4a635575fd2d,STERLING,VA,PLANT CITY,FL
